id,location_info,location_href,main_text,hastag,like,date_text,user_id,Posts,Followers,user_profile
solchan_i,Gimcheon,https://www.instagram.com/explore/locations/264862653/gimcheon/,"solchan_i 🏡 오늘의 손님 맞이, 편안한 쉼_이 되시길🎀 . . #에어비앤비 #솔과밤 #김천여행 #김천숙소 #김천숙박 #팜스테이 5일","['에어비앤비', '솔과밤', '김천여행', '김천숙소', '김천숙박', '팜스테이']",55,2021년 11월 5일,solchan_i,407.0,356.0,자두밭 신혼일기 식품점 솔찬&율이네 시골집에 놀러오세요🎈 . 예약문의: 에어비앤비 메시지 주시면 가장 빠르게 확인 가능합니다 . 🐥🐥🐥🐥🐥🐥🐥🐥🐥🐥 www.airbnb.com/h/farmstay-solbam
seoul_sup,NULL,NULL,seoul_sup #김천무인텔 #김천호텔 #김천숙소 #김천숙박 #김천모텔 #김천아포모텔 #김천아포무인텔 #시크릿비지니스모텔 73주,"['김천무인텔', '김천호텔', '김천숙소', '김천숙박', '김천모텔', '김천아포모텔', '김천아포무인텔', '시크릿비지니스모텔']",9,2020년 6월 12일,seoul_sup,4181.0,14350.0,서울촌놈
coejeongseon888,NULL,NULL,coejeongseon888 우리 에제르는 지금 장미 만발~♡ 장미로 꽃꽃이를 쫘악~♡ 역시 장미는 향이 굿~♡♡♡ 남은 장미 직원들끼리 분배하려구 담았어요 영자 신문 아니여도 한글 신문이라도 넘 이쁨~♡ #에제르 #에제르힐링가든 #에제르시크릿가든 #에제르평생교육원 #김천핫플레이스 #김천시갈만한곳 #구미시갈만한곳 #구미핫플레이스 #아포에제르 #김천에제르 #김천체험학습 #김천사회적기업 #체험관광 #김천숙박 #김천세미나룸 74주,"['에제르', '에제르힐링가든', '에제르시크릿가든', '에제르평생교육원', '김천핫플레이스', '김천시갈만한곳', '구미시갈만한곳', '구미핫플레이스', '아포에제르', '김천에제르', '김천체험학습', '김천사회적기업', '체험관광', '김천숙박', '김천세미나룸']",52,2020년 6월 9일,coejeongseon888,65.0,895.0,#에제르 경북 김천시 아포읍 황소길 76 에제르는 사회적 가치의 이념을 가지고 봉사와 실천으로 사회에 환원할 수 있도록 노력하는 사회적 기업입니다. #에제르 #에제르체험 #에제르카페 #에제르힐링가든 #에제르스쿨 #김천에제르 #구미에제르 인스타그램 활용시 부탁드립니다. www.ezeredu.com
instainkorea,NULL,NULL,instainkorea #김천무인텔 #김천호텔 #김천숙소 #김천숙박 #김천모텔 #김천아포모텔 #김천아포무인텔 #시크릿비지니스모텔 74주,"['김천무인텔', '김천호텔', '김천숙소', '김천숙박', '김천모텔', '김천아포모텔', '김천아포무인텔', '시크릿비지니스모텔']",6,2020년 6월 5일,instainkorea,4474.0,40641.0,대한민국 대표 인스타그램 📕📷📽대한민국 전국을 간다~~🐱 odiya.kr
cij1492,제로모텔,https://www.instagram.com/explore/locations/114889245727447/,cij1492 코로나이후 처음으로 숙박 만실하나 싶었더니 대실이 하나 들어와버렸다 ㅜ본래 토요일이면 낮에 대실이 꽉 차서 돌아가는 차들이 많지만 요즘은 그런일이 없다 ㅎ코로나땜시 모두다 힘들겠지만 숙박업도 타격이 상당하다.야간근무자가 없어서 한달째 안내실 야간보는중.다행이 오늘이 마지막 근무.집에서 자고싶다 ㅎ #김천숙박 #김천제로모텔 #김천무인텔 #직지사모텔 #제로모텔 #코로나 #코로나꺼져 #배그모텔 #김천모텔 75주,"['김천숙박', '김천제로모텔', '김천무인텔', '직지사모텔', '제로모텔', '코로나', '코로나꺼져', '배그모텔', '김천모텔']",19,2020년 5월 30일,cij1492,199.0,518.0,선일전통창호 김천최목수 집 수리/인테리어 안과 밖을 경계짓다-전통창호 010-2540-6214 #carpenter #woodworking #woodworker #wooddoor #architecture #desine #customdoors #전통살문 #전통창호 #목수 #선일창호 m.blog.naver.com/cij1492
instainkorea,NULL,NULL,instainkorea #김천무인텔#김천호텔#김천숙소#김천숙박#김천모텔#김천아포모텔#김천아포무인텔#추천#시크릿비즈니스모텔#김천#무인텔#숙소#숙박#모텔#숙박#완전#강추#편한곳#가족#친구#연인들끼리#강추 79주,"['김천무인텔', '김천호텔', '김천숙소', '김천숙박', '김천모텔', '김천아포모텔', '김천아포무인텔', '추천', '시크릿비즈니스모텔', '김천', '무인텔', '숙소', '숙박', '모텔', '숙박', '완전', '강추', '편한곳', '가족', '친구', '연인들끼리', '강추']",3,2020년 5월 6일,,,,
olivia_like_you,NULL,NULL,olivia_like_you #김천무인텔#김천호텔#김천숙소#김천숙박#김천모텔#김천아포모텔#김천아포무인텔#추천#시크릿비즈니스모텔#김천#무인텔#숙소#숙박#모텔#숙박#완전#강추#편한곳#가족#친구#연인들끼리#강추 86주,"['김천무인텔', '김천호텔', '김천숙소', '김천숙박', '김천모텔', '김천아포모텔', '김천아포무인텔', '추천', '시크릿비즈니스모텔', '김천', '무인텔', '숙소', '숙박', '모텔', '숙박', '완전', '강추', '편한곳', '가족', '친구', '연인들끼리', '강추']",5,2020년 3월 16일,olivia_like_you,2263.0,13670.0,seven
carpediemzzang,NULL,NULL,carpediemzzang #김천무인텔#김천호텔#김천숙소#김천숙박#김천모텔#김천아포모텔#김천아포무인텔#추천#시크릿비즈니스모텔#김천#무인텔#숙소#숙박#모텔#숙박#완전#강추#편한곳#가족#친구#연인들끼리#강추 88주,"['김천무인텔', '김천호텔', '김천숙소', '김천숙박', '김천모텔', '김천아포모텔', '김천아포무인텔', '추천', '시크릿비즈니스모텔', '김천', '무인텔', '숙소', '숙박', '모텔', '숙박', '완전', '강추', '편한곳', '가족', '친구', '연인들끼리', '강추']",13,2020년 3월 3일,carpediemzzang,866.0,14022.0,"까르페디엠 ""현재를 즐겨라"" 세상의맛..나만의멋.. 그리고..사랑가득한 일상"
seoul_sup,NULL,NULL,seoul_sup #김천무인텔#김천호텔#김천숙소#김천숙박#김천모텔#김천아포모텔#김천아포무인텔#추천#김천#무인텔#김천무인텔추천#김천호텔추천#숙소추천#김천숙소추천#김천모텔추천#호텔#모텔#숙박#완전#강추#시크릿비즈니스모텔 94주,"['김천무인텔', '김천호텔', '김천숙소', '김천숙박', '김천모텔', '김천아포모텔', '김천아포무인텔', '추천', '김천', '무인텔', '김천무인텔추천', '김천호텔추천', '숙소추천', '김천숙소추천', '김천모텔추천', '호텔', '모텔', '숙박', '완전', '강추', '시크릿비즈니스모텔']",12,2020년 1월 21일,,,,
samdamong,직지사 (直指寺),https://www.instagram.com/explore/locations/297918710811268/,samdamong #김천힐링플레이스 👑 오늘의 피로를 여기서 날려버리고~ 활기찬 내일을 여기서 시작하세요!! [ 사우나>스파>마사지>꿀잠>풀코스 ] ㆍ ㆍ ⭐ 체육경기 관련 선수단환영👌 ⭐ 각종 세미나 관련 단체예약환영👌 ⭐ 김천여행 단체손님환영👌 ⭐ 예약문의 054) 434-8007👌 ㆍ ㆍ #단체손님 #단체손님환영 #선수단환영 #선수단숙소추천 #선수단숙소 #김천핫플 #김천여행 #김천직지사 #김천숙박 #김천 #김천모텔 #김천숙박 #김천모텔추천 #김천힐링모텔 #김천맛집 #김천맛집투어 #김천맛집근처숙박 #힐링모텔 #김천출장 #김천세탁맛집 #김천무인텔 #힐링무인텔 #서비스맛집 #세탁세제맛집 #대용량세탁세제 #프리미엄세탁세제 #오보에세탁세제 #오보에김천 #오보에스타그램 100주,"['김천힐링플레이스', '단체손님', '단체손님환영', '선수단환영', '선수단숙소추천', '선수단숙소', '김천핫플', '김천여행', '김천직지사', '김천숙박', '김천', '김천모텔', '김천숙박', '김천모텔추천', '김천힐링모텔', '김천맛집', '김천맛집투어', '김천맛집근처숙박', '힐링모텔', '김천출장', '김천세탁맛집', '김천무인텔', '힐링무인텔', '서비스맛집', '세탁세제맛집', '대용량세탁세제', '프리미엄세탁세제', '오보에세탁세제', '오보에김천', '오보에스타그램']",31,2019년 12월 9일,samdamong,1354.0,1388.0,夢 개인 블로그
