id,location_info,location_href,main_text,hastag,like,date_text,user_id,Posts,Followers,user_profile
lja2944,NULL,NULL,lja2944 김천 사명대사공원 숙박동 . . 서울 겐지녀와 1박2일 김천투어 오늘의 숙소는 사명대사공원에 생긴 한옥스테이.. 비가 와서 더 운치 있는 한옥.. 조용하고 고즈넉한 방에 누워 처마 밑으로 떨어지는 빗소리 들으며 힐링 제대로..🥰  #김천숙소 #김천한옥펜션 #김천펜션 #사명대사공원 #김천직지사 #사명대사공원숙박동 #한옥스테이 36주,"['김천숙소', '김천한옥펜션', '김천펜션', '사명대사공원', '김천직지사', '사명대사공원숙박동', '한옥스테이']",23,2021년 3월 2일,lja2944,265,130,
hundaege,김천 직지사,https://www.instagram.com/explore/locations/246949217/,hundaege 오늘도 날씨가 다했네  우리뿐이야~~~  ㅋㅋ 느무 좋다  마스크안써도되고  바람이 불어서 시원하네  좋다  #맞팔#소통#육아맘#주말일상#먹스타그램 #김천여행 #경북가볼만한곳 #김천숙소 #김천한옥황토펜션 24주,"['맞팔', '소통', '육아맘', '주말일상', '먹스타그램', '김천여행', '경북가볼만한곳', '김천숙소', '김천한옥황토펜션']",49,2021년 5월 22일,hundaege,1649,1115,박명인 유쾌상쾌 우리집.🐍🐉🐉🐷 #육아맘 #남매맘#육아일상#육아소통#워킹맘일상⏰
jiyuuuuu_s,NULL,NULL,jiyuuuuu_s 머리를 많이 길렀군.. 흐아…😵 18주,"['첫줄', '데일리', 'daily', '셀스타그램', '얼스타그램', '셀피', 'selca', 'selfie', '사기꾼', '답답', '주말', '좋아요', '장마시작', '비', '김천숙소', '김천', '산본', '분당']",133,2021년 7월 3일,jiyuuuuu_s,134,571,송선미➡️지유(枝 柔) 운동선수 소속_인천광역시 체육회 Highest world ranking 41 2010년 광저우아시안게임 단체전 🥉 2014년 인천아시안게임 단체전 🥉 2010 NSW OPEN 🏆 2012 Victorian Open Squash Championships🏆
solchan_i,Gimcheon,https://www.instagram.com/explore/locations/264862653/gimcheon/,"solchan_i 🏡 오늘의 손님 맞이, 편안한 쉼_이 되시길🎀 . . #에어비앤비 #솔과밤 #김천여행 #김천숙소 #김천숙박 #팜스테이 5일","['에어비앤비', '솔과밤', '김천여행', '김천숙소', '김천숙박', '팜스테이']",55,2021년 11월 5일,solchan_i,407,356,자두밭 신혼일기 식품점 솔찬&율이네 시골집에 놀러오세요🎈 . 예약문의: 에어비앤비 메시지 주시면 가장 빠르게 확인 가능합니다 . 🐥🐥🐥🐥🐥🐥🐥🐥🐥🐥 www.airbnb.com/h/farmstay-solbam
humming_h,NULL,NULL,humming_h #21개월아기 #김예림순이  분명 찍을때는 정신없이 와라락 으아어 제발 한번만 봐줘 예림아~ 아 아냐아냐 괜찮아 우오오앙🤪 이런 분위기 속에서 찍은것 같은데  여행을 마치고 사진첩을 보니 삭제할사진도 백만장이지만ㅋㅋㅋ (이래놓고 다 소중하다며 못지우고 용량 없다 난리난리)  흙속의 진주처럼 요로코롬 예쁜 사진도 중간중간 한두장 귀하게 숨어있네?👀✨  #백만장중에한장 #이맛에사진찍지 #귀여운딸랑구 4주,"['21개월아기', '김예림순이', '백만장중에한장', '이맛에사진찍지', '귀여운딸랑구']",74,2021년 10월 10일,humming_h,312,877,JEONG IN account run by mom • 기원+정인 2018.11.10💍 • 토리(예림) 2020.01.02💛
j_j__125,Gimcheon,https://www.instagram.com/explore/locations/264862653/gimcheon/,j_j__125 바쁜오빠지만 가끔시간내서 여행 자주가자고 약속🤙🏻😏#도란도란 27주,['도란도란'],27,2021년 5월 5일,j_j__125,259,252,🥩🤍🐶
timestory_sinyoung,NULL,NULL,timestory_sinyoung #시크릿비즈니스모텔#김천무인텔#김천호텔#김천숙소#김천숙박#김천모텔#김천아포모텔#김천아포무인텔#숙박#편안한숙소#좋아요#맛팔#선팔#셀피#인스타그램#깔끔한숙소#숙소#무인텔#호텔 161주,"['시크릿비즈니스모텔', '김천무인텔', '김천호텔', '김천숙소', '김천숙박', '김천모텔', '김천아포모텔', '김천아포무인텔', '숙박', '편안한숙소', '좋아요', '맛팔', '선팔', '셀피', '인스타그램', '깔끔한숙소', '숙소', '무인텔', '호텔']",6,2018년 10월 10일,timestory_sinyoung,258,4662,sinyoung
pensionnara_oceannet,NULL,NULL,pensionnara_oceannet 뭐하세요!! 가족들과 떠나세요 당장!! 14주,"['일상', '여행에미치다', '김천여행', '김천펜션', '김천독채팬션', '김천숙소', '김천가볼만한곳', '김천여행', '김천금낭화타운펜션', '김천가볼만한곳', '펜션여행', '풀빌라', '풀빌라펜션', '풀빌라추천', '여행그램', '여행스냅', '국내풀빌라', '프라이빗풀빌라', '인생사진', '사진명소', '숙소추천', '풀빌라추천', '펜션추천', '펜션홈페이지제작', '풀빌라홈페이지제작', '펜션나라', '오션넷']",,2021년 7월 29일,pensionnara_oceannet,197,106,"오션넷,펜션홈페이지제작 여행사 펜션예약솔루션📈🔍 펜션 디자인 홈페이지제작💻 펜션전문 사진촬영📸 펜션영상제작🎥 www.oceannet.co.kr"
dada._.e__,NULL,NULL,"dada._.e__ 뷰좀보세요〰️💙  또 가고싶은 산꼭대기숙소 ,💙  ——— 47주",[],68,2020년 12월 11일,dada._.e__,247,651,다으니 28 취미용품점 ☁️ 본사 인증 성공멘토 ☁️ 네이버 [후기톡다다] 검색 ◡̈ ☁️ 문의는 ⤵ open.kakao.com/o/sCF5DlGc
airbnb.gimchen,NULL,NULL,airbnb.gimchen 10월 한달도 이용해주셔서 감사합니다^^  #에어비앤비 #가족여행 #힐링여행 #김천여행 #대구여행 #경북여행 #김천숙소 #부곡맛고을 #김천역 #김천구미역 #32평 #3룸빌라 #2화장실 #문의는dm 1주,"['에어비앤비', '가족여행', '힐링여행', '김천여행', '대구여행', '경북여행', '김천숙소', '부곡맛고을', '김천역', '김천구미역', '32평', '3룸빌라', '2화장실', '문의는dm']",14,2021년 11월 2일,airbnb.gimchen,10,91,김천에어비앤비 김천가족여행 오시기 좋은 에어비앤비 운영중입니다 문의는 DM부탁드립니다 airbnb.com/h/sahala159
