place,category,address,tel,review_count,total star,url,user_name,write_date,user_stars,comment,lat,lng
B&B모텔,"여관,모텔",부곡동 424-3,054-910-1199,5,1.6,https://kcbnb.modoo.at/,"['YM', '임덕규', '앙기모띠주는나무', '천승민', '김준성']","['2021.06.28.', '2020.05.27.', '2020.04.15.', '2020.02.04.', '2017.11.29.']","['1', '2', '1', '1', '3']","['진짜 불친절합니다', '모텔 옆에 사는 인간이 개를 키우는데 새벽에 개가 갑자기 엄청 짖어서 좀 놀랐네요', '현금만 받으려고해요. 카드계산은 완전 불친절', '와웅 시설이 좋은데 방음이 완전 끝내줍니다 모든게 다들려요!^0^', '시설은 진짜 마음에 들었는데 청소상태가 아쉬웠습니다..변기청소랑..머리카락이 몇 개 보였어요..  청소 끝난 객실들중에 전체는 아니라도 어느정도는  점검을 하시는게 좋을 것 같습니다!']",36.12431309999999,128.1016407
해인산장,"산장,별장",부항면 해인리 266,054-437-1991,1,5.0,http://www.xn--zf4b17j5dm97c.com/,['정발산기슭'],['2021.02.06.'],['5'],['사장님도 친절하시고 고기가 너무 맛있어요. 고기뿐만 아니라 밑반찬도 너무 맛있네요. 특히 장아찌'],36.0134926,127.8982023
캠핑뜨락오토캠핑장,오토캠핑장,조마면 강곡리 917-1,010-4114-7122,0,0.0,http://cafe.naver.com/campingdderock,,,,,36.0142463,128.0828071
베네치아,"여관,모텔",감호동 11-2,054-436-1089,1,1.0,,['.'],['2020.09.19.'],['1'],"['자는데 리모컨 누르지도 않았는데 갑자기 중앙등이 켜지고,  밤새도록 바람소리에 문이 덜컹덜컹 흔들렸어요.']",36.1224517,128.1298821
하늘아래첫동네오토캠핑장,오토캠핑장,증산면 금곡리 801,,0,0.0,http://cafe.naver.com/hahadongcamping,,,,,35.8814193,128.0364302
바람재두리펜션,펜션,대항면 주례리 214-2,010-8674-7318,2,5.0,http://www.baramjaepension.co.kr/,"['나만 당할 수 없다', '♡지민도♡']","['2020.07.06.', '2019.07.28.']","['5', '5']","['여러 번 가보았지만 갈 때마다 한결같이 깨끗합니다. 특히나 수영장과 계곡은 너무 좋아요.', '']",36.0772057,127.9948562
쉼표캠핑장,"야영,캠핑장",아포읍 대성리 273,054-430-1110,1,4.0,http://www.gumi-camping.co.kr/,['.'],['2021.07.09.'],['4'],"['아기자기하고 아담하니, 편안한 캠핑장. 10+1 쿠폰이 있다']",36.1359668,128.2732683
모텔윈,"여관,모텔",용두동 83-1,054-430-0087,3,3.7,,"['ᆞ쌤ᆞ', '😍', '쿤']","['2020.09.01.', '2019.04.29.', '2018.07.13.']","['5', '1', '5']","['어때 매진 됐으나 전화로 특실 예약...자정도착.vip제공 받음. 803호 스파 굳.보글과 파도형 플러스 된...  일반실까지 스파 있다하니 담건엔 써 봐야지... 저 같은 스파족을위해 관리 잘 해 주셈...  아마 옆 가게서 들어와 쓴 ㄱㅡㄹ 인듯 ¿', '불친절함에 최악의 숙박시설이였다. 불쾌감에 김천 일정도 엉망이 되었던  다신 못갈곳~~ 갑질윈!~~숙박시설에 서비스마인드는 내 모텔이라는 갑질로불쾌한 모텔주인만나 일정도 엉망이 되었던...어처구니없던곳!', '출장 오신분들 가세요  깨끗하고 좋습니다  그리고 사장님이 츤데레시네요  ㅎㅎ']",36.1207447,128.1282118
한옥황토펜션,펜션,구성면 마산리 173-2,054-433-7367,1,5.0,https://hodoopension.modoo.at/,['mmmm'],['2021.10.16.'],['5'],['급하게 하루 자야해서 찾다가 온 곳 너무 깨끗하고 사장님도 친절하시고 황토방이라서  정말 푹 쉬고 갑니다^_^ '],36.0461043,127.9631746
제로모텔,"여관,모텔",대항면 덕전리 1266,054-439-5959,0,0.0,https://blog.naver.com/kms87412,,,,,36.1296676,128.0327638
E모텔,"여관,모텔",덕곡동 1000-1,054-432-3210,2,3.0,,"['^^', '호헌']","['2019.11.11.', '2019.10.25.']","['5', '1']","['친구들이랑 가봤는데 주인분도 친절하고 너무 좋았습니다 모텔도 깨끗하고 방도 따뜻하고 너무 좋았어요 ^^ 담번에도 갈 예정이에요 ', '드론교관과정 교육차 김천에 왔다가 3일 35,000씩해준다고 해서 들어 왔다가, 잠한숨도 못자고 감기만 걸렸음  주인이 전기세가 아까운지 방보일러 끄는 바람에 감기걸리고 잠 못자고 카운터에 이야기 해 자다가 새벽 2시경 방바꾸고 하고 살다 살다 이런 쇼는 처음 해 보내요  절대 이여관 가지 마세요, 꼭 후회 합니다']",36.1177429,128.151047
M플러스모텔,"여관,모텔",남면 부상리 378-10,054-435-7942,0,0.0,,,,,,36.0739771,128.2638888
스위트모텔,"여관,모텔",평화동 146-7,054-434-6355,1,1.0,http://054-434-6355.kti114.net/,['상상'],['2021.07.01.'],['1'],['한여름에 에어컨에서 냄새가 너무나서 못틀겠다고하니 향수뿌리고 쓰라고 하네요 안되겠다고하니 나중에는 에어컨 쓰지말고 선풍기쓰라고 줍니다 대회중 방이없어서 할수없이 자긴하는데 너무하네요 별하나도아깝습니다 아래 별점때문에 왔는데 pc없습니다'],36.1269396,128.1087299
힐튼모텔,"여관,모텔",덕곡동 975-1,054-430-6763,0,0.0,,,,,,36.1152901,128.1548513
김천이화만리캠핑장,오토캠핑장,농소면 봉곡리 1214,,0,0.0,,,,,,36.071509,128.1773789
시크릿모텔,"여관,모텔",아포읍 인리 956-3,054-431-1100,0,0.0,,,,,,36.1676817,128.2460888
더비앤비모텔,"여관,모텔",부곡동 415-15,054-910-1122,3,2.3,,"['J.J', '빵', '앙기모띠주는나무']","['2021.10.08.', '2021.01.05.', '2019.03.30.']","['1', '5', '1']","['현금만 받으려고 용쓴다.여자사장이 엄청 싸가지 없음.세무조사 들어가야된다.왜 카드 안받으려고 애쓰냐고!!!', '안마베드  ㄷㄷㄷ 누가 안마해주나요??????', '시설은 신식이라 최고인데 / 엄청 불친절에 카드 안받으려고 만들어놓은 시스템도 별로임 카드로 대실계산했더니 문도 늦게열어주고 퇴실 한시간 남았는데 갑자기 벨울려댔음. 세번째 방문하고 다신안감  시설만 보고 가는사람은 추천']",36.1276138,128.1015217
오색애견펜션,펜션,남면 오봉리 708-2,010-7484-5953,1,5.0,http://fivecolorpet.com/,['최윤석'],['2021.10.28.'],['5'],['넘 깨끗하고 편안해요. 사장님도 친절하시구요. 근처에 오봉저수지와 산들이 있어 산책과 등산하기에도 참 좋습니다.'],36.1107004,128.2469539
직지사산마을펜션,펜션,대항면 운수리 406,010-4200-6811,0,0.0,http://www.xn--hz2b99jpoap3qp9q.com/,,,,,36.1107676,128.0128925
S모텔,"여관,모텔",부곡동 428-16,054-430-8925,0,0.0,,,,,,36.1235275,128.1034028
몽플러스모텔,"여관,모텔",감호동 158,054-437-6301,0,0.0,,,,,,36.1189713,128.1294965
미라클모텔,"여관,모텔",감호동 8,054-437-6617,0,0.0,https://blog.naver.com/miraclemotel,,,,,36.1230105,128.1299408
커플모텔,"여관,모텔",덕곡동 1137,054-432-6988,3,2.0,,"['써브웨이', '리원이아빠', '출장맨']","['2019.11.05.', '2019.06.18.', '2019.04.22.']","['1', '4', '1']","['방가지고 사기치는거는 모르겠고 금액이 아까움 그리고 카운터 아줌마 불친절해서 다시 가고싶다는 생각은 전혀 안듬', '이정도면 괜찮은것 같네요. 팁으로 몇호인지는 모르겠는데 모퉁이에 있는방이 다른 방의 1.5배 정도 되는 것 같네요. ', '방2개에 5만이래놓고 10만결재하는 사기업체 조심합시다']",36.1187625,128.1501492
김천호반펜션,펜션,남면 오봉리 1209,054-437-4500,0,0.0,http://www.xn--4k0bo6xh5dtrnbqiq4d.com/,,,,,36.1212889,128.2397885
숲속무인텔,"여관,모텔",봉산면 태화리 609,054-434-3352,0,0.0,https://blog.naver.com/gsgpmh,,,,,36.149567,128.0216591
하이센스모텔,"여관,모텔",삼락동 1210,054-434-8999,0,0.0,,,,,,36.1423399,128.0939112
김천한솔펜션,펜션,대항면 운수리 637-1,054-436-6072,0,0.0,http://hansolpension.modoo.at/,,,,,36.105033,128.0100216
캠프1950 밀리터리글램핑,글램핑장,대덕면 문의리 240,,0,0.0,http://cafe.naver.com/camping1950,,,,,35.8787838,127.9410435
비타민무인텔,"여관,모텔",지례면 상부리 288,054-439-1800,0,0.0,,,,,,35.9857025,128.0325012
아도라모텔,"여관,모텔",덕곡동 1002-5,054-433-6611,1,5.0,,['임동훈'],['2018.07.20.'],['5'],['친절하고 좋았습니다'],36.1175718,128.1516521
블러썸게스트하우스,게스트하우스,교동 843,054-437-0072,2,5.0,http://blog.naver.com/kc5428,"['잘먹는미식가', '이은송']","['2021.10.30.', '2021.04.21.']","['5', '5']","['부디 사장님께서 만수무강하셔서 오래오래 게스트하우스 운영해주셨으면 하는 바램입니다... (도공경기보러갈 때 위치 아주 굿이에요) 여유롭게 걸어서 20분!!', '지금 묵고있는데 깨끗하고 넓고 좋아영 친구랑 2인숙박 잡았고 침대 매트리스 두꺼워서 편해요 조식도 맛있음ㅎ']",37.7670917,128.8866249
수모텔,"여관,모텔",부곡동 426-7,054-430-4344,0,0.0,,,,,,36.1242951,128.1047524
코아모텔,"여관,모텔",평화동 245-180,054-431-3400,3,4.3,,"['01085905604', '나인혜', '나폴스']","['2021.10.03.', '2017.11.15.', '2017.11.13.']","['3', '5', '5']","['제주가든', '편안하고 가격이 저렴해서 좋아요ㅎㅎ', '시설은  최신아니지만 저렴,  깨끗하네요.']",36.1250753,128.109185
김천영희민박팬션,민박,대항면 운수리 462-1,010-2710-0194,0,0.0,http://younheepan.com/,,,,,36.1086895,128.0101742
EX모텔,"여관,모텔",용두동 34-1,,0,0.0,,,,,,37.5731343,127.0404611
김천하늘정원,"야영,캠핑장",,,0,0.0,http://blog.naver.com/bedshin926,,,,,0,0
아미가모텔,"여관,모텔",부곡동 425-7,054-436-7477,1,2.0,,['dyj'],['2021.06.18.'],['2'],['사장님 친절하신것같습니다 방 인테리어도좋습니다 하지만 청소상태가 불량하고  수건도 너무얇고 냄새도납니다 냉장고에도 물밖에없네요 '],36.1245014,128.1028052
나비야모텔,"여관,모텔",부곡동 425-22,054-433-6183,1,1.0,,['토토가'],['2017.08.28.'],['1'],['.... 모텔이랑 노래방이랑 같이  있어서 소음 간간히 계속 울리고 드라이기는 뜨거운 바람 안나오고... 숙박으로는 최악입니다..'],36.124534,128.1036763
하이디펜션,펜션,남면 월명리 551-1,,0,0.0,,,,,,36.0588674,128.2540192
오투모텔,"여관,모텔",아포읍 인리 972,054-437-8778,0,0.0,http://www.o2motel.kr/,,,,,36.1654901,128.2481071
더캠프 렌탈캠핑장,"야영,캠핑장",대항면 덕전리 96,054-436-0105,0,0.0,http://cafe.naver.com/thecamprentalcamping,,,,,36.1022672,128.0533523
첼로모텔,"여관,모텔",평화동 359-30,054-433-1185,0,0.0,,,,,,36.1258585,128.107252
용추민박,민박,증산면 수도리 37,,6,2.3,,"['ㄱ우영길', '🤖', '김지연', 'MCC 이화랑', '향 숙']","['2021.08.04.', '2021.07.29.', '2021.07.26.', '2021.07.26.', '2019.08.29.']","['1', '1', '1', '1', '5']","['별 0개도 아까운 성질 정말 더럽고 괴팍한 집주인입니다. 공유지인 계곡이 자기것인냥 고래고래 고함을 지르며 나가라고 난리도 이만저만 아닙니다.  공유지 계곡에 피서를 와서 휴식을 취하고 있는데 난데 없이 나타나 일방적 괴성에 칼로 자해한 흉터진 배를 보이며 공갈과  협박조로 나가라고 하니 엄청 당황스럽더군요. 다시금 두번다시 가지말아야할 깡패집 같습디다. ...', '후기쓸려고 가입까지함. 할말이 많지만, 절대 오지마. 별 0개나 -100개를 주고 싶음. 민박인데, 불편하고 지저분함. 방에 있는 이 장농이랑 장농 위에 짐이랑 알 수 없는 한약 비닐만 봐도 분위기 보이지 않음? 아 개빡쳐.', '아, 저도 당했어요! 사유니까 나가라고. 알고보니 국유지와 군유지에 평상 깔아놓고 돈 받고 있네요. 3만원, 5만원. 말만 잘하면 깍아 준다고 ㅎ 시민 모두의 공간을 자신들의 돈벌이 공간으로 만들고는 되려 당당하게 소리치는 모습에 무지 황당했었어요. 참고하세요.', '공유지를 사유지처럼 독점하고 있는 분들... 계곡과 계곡 주변 땅 모두 공유지인데 평상 깔아놓고 돈받고 있네요.. 게다가 용추민박에서 직선거리 35미터나 떨어진 계곡에서 아이들과 물놀이 잠깐 하고 있는데, 사유지라며 ""가요! 나가요!""를 연발 외치는 용추민박 사장. 수도권은 계곡정비 끝내고 시민들의 품으로 돌아왔다던데... 김천은 언제나 그런 날이 올지.....', '용추민박집가시면 용추폭포도 들러보세요~무흘구곡중 마지막9곡입니다']",35.8636896,128.0119455
금낭화타운,펜션,,,0,0.0,,,,,,0,0
